00AA,LEOTI. KS
00AK,ANCHOR POINT. AK
00AL,HARVEST. AL
00AN,KING SALMON. AK
00AR,BENNINGTON. KS
00AS,ALEX. OK
00C,DURANGO. CO
00CA,BARSTOW. CA
00CL,BIGGS. CA
00F,BROADUS. MT
00FA,BUSHNELL. FL
00FL,OKEECHOBEE. FL
00GA,LITHONIA. GA
00ID,CLARK FORK. ID
00IG,MCDONALD. KS
00IL,POLO. IL
00IS,KINGS. IL
00KS,GARDNER. KS
00KY,STANFORD. KY
00LS,ESTERWOOD. LA
00M,BAY SPRINGS. MS
00MD,FEDERALSBURG. MD
00MN,BATTLE LAKE. MN
00MO,ALBA. MO
00N,BRIDGETON. NJ
00NC,LOUISBURG. NC
00NY,WEST BLOOMFIELD. NY
00OK,SANDSPRINGS. OK
00PN,MERCER. PA
00R,LIVINGSTON. TX
00S,MC KENZIE BRIDGE. OR
00SC,SUMTER. SC
00SD,GARY. SD
00TN,LEBANON. TN
00TS,EVERMAN. TX
00TT,GOODLETT. TX
00TX,VAN. TX
00U,HARDIN. MT
00VA,ALTON. VA
00VI,HILLSVILLE. VA
00W,COLFAX. WA
00WA,LONGBRANCH. WA
00WI,WAUPACA. WI
00WN,ASOTIN. WA
00WV,BEVERLY. WV
00XA,HEMPSTEAD. TX
01A,PURKEYPILE. AK
01AA,CROOKED CREEK. AK
01AL,CLANTON. AL
01AN,WASILLA. AK
01CL,PLACERVILLE. CA
01CN,TALKEETNA. AK
01FA,ORLANDO. FL
01FL,GENEVA. FL
01G,PERRY. NY
01GE,WRIGHTSVILLE. GA
01ID,LAVA HOT SPRINGS. ID
01IS,DOW. IL
01J,HILLIARD. FL
01K,CALDWELL. KS
01LA,OAK RIDGE. LA
01M,BELMONT. MS
01MT,FORTINE. MT
01NC,HOLLY RIDGE. NC
01NH,CANAAN. NH
01NK,GRANVILLE. NY
01NM,ARTESIA. NM
01NV,YERINGTON. NV
01OL,TISHOMINGO. OK
01PA,BOLIVAR. PA
01PS,MESHOPPEN. PA
01SC,YORK. SC
01T,SONORA. TX
01TE,FORNEY. TX
01TN,COLLIERVILLE. TN
01TS,GROESBECK. TX
01U,DUCKWATER. NV
01UT,LA SAL. UT
01VA,BERRYVILLE. VA
01WY,MOORCROFT. WY
02A,CLANTON. AL
02AA,BIG LAKE. AK
02AK,WILLOW. AK
02AL,FOLEY. AL
02AR,MURFREESBORO. AR
02C,BROOKFIELD. WI
02CD,CLARKSDALE. MS
02CL,FRAZIER PARK. CA
02CO,MONTE VISTA. CO
02FA,GROVELAND. FL
02FD,BAKER. FL
02G,EAST LIVERPOOL. OH
02GA,COMMERCE. GA
02GE,EUHARLEE. GA
02ID,CASCADE. ID
02IN,MUNCIE. IN
02KS,ST MARYS. KS
02MD,BRANDYWINE. MD
02ME,ACTON. ME
02MI,GREENVILLE. MI
02MN,CAMBRIDGE. MN
02MO,TROY. MO
02MS,ROCHDALE. MS
02MT,CULBERTSON. MT
02NV,WINNEMUCCA. NV
02OK,LAMONT. OK
02PR,VEGA BAJA. PR
02SC,ESTILL. SC
02T,WISE RIVER. MT
02TN,MURFREESBORO. TN
02TS,CHARLOTTE. TX
02UT,LUCIN. UT
02VA,CULPEPER. VA
02WA,SOUTH PRAIRIE. WA
02WI,HUDSON. WI
02WN,TONASKET. WA
02XA,HONEY GROVE. TX
02XS,ELROY. TX
03AZ,HEREFORD. AZ
03B,MANSFIELD. MO
03D,MEMPHIS. MO
03FA,LAKE PLACID. FL
03GA,STATESBORO. GA
03IA,ELLIOTT. IA
03ID,COUNCIL. ID
03IL,MONEE. IL
03KY,HENDERSON. KY
03MA,HADLEY. MA
03ME,HARRISON. ME
03MN,LAKEFIELD. MN
03MO,RICHMOND. MO
03MU,ARCHIE. MO
03N,UTIRIK ISLAND. MH
03NC,CAROLINA BEACH. NC
03ND,EDINBURG. ND
03NV,RUBY VALLEY. NV
03NY,RIVERHEAD. NY
03OH,FREMONT. OH
03OK,SAPULPA. OK
03OL,ALEX. OK
03OR,TROY. OR
03PR,BONNER SPRINGS. KS
03S,SANDY. OR
03TE,HEBBRONVILLE. TX
03TT,ORCHARD. TX
03UT,MEXICAN HAT. UT
03WA,SPANGLE. WA
03WN,GOLDENDALE. WA
03XS,MERTZON. TX
04A,LUVERNE. AL
04AA,SOLDOTNA. AK
04AN,SUTTON. AK
04AZ,WHITE HILLS. AZ
04CA,PALMDALE. CA
04CL,JULIAN. CA
04FA,HOMESTEAD. FL
04FL,ORMOND. FL
04G,YOUNGSTOWN. OH
04IA,PACKWOOD. IA
04ID,EMMETT. ID
04IL,HUDSON. IL
04IS,MANSFIELD. IL
04KS,MINNEOLA. KS
04KY,HISEVILLE. KY
04M,PITTSBORO. MS
04MA,HAVERHILL. MA
04ME,MERCER. ME
04MI,EATON RAPIDS. MI
04MN,KELLIHER. MN
04MS,ROLLING FORK. MS
04MT,COHAGEN. MT
04NE,SARBEN. NE
04NJ,ELMER. NJ
04NV,SANDY VALLEY. NV
04NY,HUDSON. NY
04OR,MITCHELL. OR
04TN,CHUCKEY. TN
04TT,UTOPIA. TX
04TX,CHINA SPRING. TX
04UT,NAVAJO MOUNTAIN TRDNG POST. UT
04V,SAGUACHE. CO
04VT,CABOT. VT
04W,HINCKLEY. MN
04WA,SPOKANE. WA
04WI,BRISTOL. WI
04WN,ROYAL CITY. WA
04XA,JERMYN. TX
04Y,HAWLEY. MN
05AK,PALMER. AK
05AN,FOX. AK
05AR,KINGSTON. AR
05C,GRIFFITH. IN
05CL,POPE VALLEY. CA
05CO,MEAD. CO
05D,NEW TOWN. ND
05FA,FLORALA. FL
05FL,LA BELLE. FL
05GA,RICHLAND. GA
05IA,NORA SPRINGS. IA
05ID,GRANGEVILLE. ID
05IL,BONFIELD. IL
05IN,BELLEVILLE. IN
05K,PORT ALSWORTH. AK
05KS,ELK CITY. KS
05KT,FRANKFORT. KY
05KY,BEREA. KY
05LA,BASKIN. LA
05LS,ALEXANDRIA. LA
05MD,CHESTERTOWN. MD
05ME,JONESBORO. ME
05MO,EDINA. MO
05MT,BELGRADE. MT
05N,WINTERVILLE. NC
05NC,BEAUFORT. NC
05NE,SPALDING. NE
05NV,BAKER. NV
05OH,CONESVILLE. OH
05OI,COLUMBIA STATION. OH
05OK,HYDRO. OK
05OR,ENTERPRISE. OR
05PS,BURNT CABINS. PA
05S,VERNONIA. OR
05TA,SEALY. TX
05TE,GEORGETOWN. TX
05TS,JUSTIN. TX
05TX,BLUM. TX
05U,EUREKA. NV
05V,BLANCA. CO
05VA,FARMVILLE. VA
05WI,DARIEN. WI
05WN,KETTLE FALLS. WA
05XS,WILMOT. AR
05Y,HENNING. MN
06A,TUSKEGEE. AL
06AA,STERLING. AK
06AK,WASILLA. AK
06AN,NIKISKI. AK
06AR,HIGDEN. AR
06C,CHICAGO/SCHAUMBURG. IL
06CO,BRANSON. CO
06D,ROLLA. ND
06FA,JUPITER. FL
06FD,MASCOTTE. FL
06IA,WALFORD. IA
06ID,KUNA. ID
06IL,EARLVILLE. IL
06IS,NAUVOO. IL
06M,EUPORA. MS
06MO,WALDRON. MO
06MT,ETHRIDGE. MT
06N,MIDDLETOWN. NY
06NC,ST. PAULS. NC
06NH,KENSINGTON. NH
06NV,BAKER. NV
06NY,AUBURN. NY
06OH,WILLIAMSFIELD. OH
06OI,NEW LEBANON. OH
06PA,CERES. PA
06TA,BUCKHOLTS. TX
06TE,CLEVELAND. TX
06TN,COLUMBIA. TN
06TS,PAINT ROCK. TX
06TT,FORT MCKAVETT. TX
06TX,HOCKLEY. TX
06U,JACKPOT. NV
06VA,GROTTOES. VA
06WI,WAUSAUKEE. WI
06WN,YELM. WA
06XA,VAN ALSTYNE. TX
06XS,AUBREY. TX
06Y,HERMAN. MN
07A,UNION SPRINGS. AL
07AA,WILLOW. AK
07AN,TRAPPER CREEK. AK
07AR,MORRILTON. AR
07CL,RICHVALE. CA
07CO,KIOWA. CO
07F,GLADEWATER. TX
07FA,KEY LARGO. FL
07GA,COVINGTON. GA
07GE,OCILLA. GA
07IA,SHAMBAUGH. IA
07ID,OLDTOWN. ID
07IN,BOGGSTOWN. IN
07K,CENTRAL CITY. NE
07KS,AUGUSTA. KS
07KY,LOUISVILLE. KY
07LA,FOREST HILL. LA
07MD,WESTMINSTER. MD
07MO,WARRENSBURG. MO
07MT,GLASGOW. MT
07N,KRALLTOWN. PA
07NC,WAXHAW. NC
07NV,BAKER. NV
07OK,SNYDER. OK
07PA,ALBION. PA
07PN,GRASSFLAT. PA
07R,BISHOP. TX
07S,BEAUMONT. KS
07TA,DANBURY. TX
07TS,GEORGETOWN. TX
07UT,HOWELL. UT
07V,LA VETA. CO
07VA,CLOVER. VA
07VT,JERICHO. VT
07Y,HILL CITY. MN
08A,WETUMPKA. AL
08AK,BIG LAKE. AK
08AN,PALMER. AK
08AR,ASHDOWN. AR
08B,BOWDOINHAM. ME
08C,JENISON. MI
08CL,JAMESTOWN. CA
08CO,RUSH. CO
08D,STANLEY. ND
08F,COALGATE. OK
08FA,LA BELLE. FL
08FD,OKEECHOBEE. FL
08FL,LAKE PLACID. FL
08GA,DARIEN. GA
08ID,MARSING. ID
08IL,CORTLAND. IL
08K,HARVARD. NE
08KS,BENNINGTON. KS
08KY,BURNSIDE. KY
08LL,DWIGHT. IL
08LS,GRAND COTEAU. LA
08M,CARTHAGE. MS
08ME,AVON. ME
08MO,JASPER. MO
08MS,COLDWATER. MS
08MT,GRASS RANGE. MT
08N,LEBANON. PA
08NC,LEWISVILLE. NC
08ND,GOLDEN VALLEY. ND
08NR,ZIRCONIA. NC
08NY,MIDDLETOWN. NY
08OH,HARTFORD. OH
08OK,WILBURTON. OK
08OL,HYDRO. OK
08OR,SILVER LAKE. OR
08R,WEST KINGSTON. RI
08TN,FAYETTEVILLE. TN
08TS,BYNUM. TX
08TT,FREDERICKSBURG. TX
08TX,WEATHERFORD. TX
08U,NORTH FORK. NV
08WA,LACEY. WA
08WI,HOWARD. WI
08XA,SNOOK. TX
08XS,OLD OCEAN. TX
09A,BUTLER. AL
09AK,BIG LAKE. AK
09AN,HOMER. AK
09AZ,ST DAVID. AZ
09CL,GRASS VALLEY. CA
09CO,SWINK. CO
09FA,LAKE PLACID. FL
09FD,BUSHNELL. FL
09GA,MOULTRIE. GA
09GE,DAWSONVILLE. GA
09IA,BROOKLYN. IA
09ID,MOSCOW. ID
09IN,COLUMBIA CITY. IN
09J,JEKYLL ISLAND. GA
09K,SARGENT. NE
09KS,WELLSVILLE. KS
09LL,CAPRON. IL
09M,CHARLESTON. MS
09ME,BERWICK. ME
09MO,WILLARD. MO
09MT,SULA. MT
09N,STAATSBURG. NY
09NC,BROADWAY. NC
09NE,BENNINGTON. NE
09NR,RAMSEUR. NC
09OK,COLLINSVILLE. OK
09PA,PORT MATILDA. PA
09R,WOODVILLE. TX
09S,METALINE FALLS. WA
09T,DECATUR. TX
09TA,RAVENNA. TX
09TE,GLEN ROSE. TX
09TS,MARATHON. TX
09TX,SHEFFIELD. TX
09VA,FLOYD. VA
09WI,HOLMEN. WI
0A3,SMITHVILLE. TN
0A4,JOHNSON CITY. TN
0A7,HENDERSONVILLE. NC
0A8,CENTREVILLE. AL
0A9,ELIZABETHTON. TN
0AA1,YAKATAGA. AK
0AA4,FAREWELL. AK
0AA5,TRAPPER CREEK. AK
0AA7,KENAI. AK
0AK,PILOT STATION. AK
0AK0,NORTH POLE. AK
0AK1,WASILLA. AK
0AK2,WILLOW. AK
0AK3,MONTANA CREEK. AK
0AK5,MAY CREEK. AK
0AK6,VICTORY BIBLE CAMP. AK
0AK7,HOMER. AK
0AK8,MCCARTHY. AK
0AK9,POINT MACKENZIE. AK
0AL1,FOLEY. AL
0AL5,FLOMATON. AL
0AL9,FLORENCE. AL
0AR2,CRAWFORDSVILLE. AR
0AR3,POINT CEDAR. AR
0AZ2,SALOME. AZ
0AZ4,MOBILE. AZ
0AZ5,MORRISTOWN. AZ
0B1,BETHEL. ME
0B2,BREWER. ME
0B4,HARTINGTON. NE
0B5,MONTAGUE. MA
0B7,WARREN. VT
0B8,FISHERS ISLAND. NY
0C0,HARVARD. IL
0C1,DEARBORN. MO
0C2,HINCKLEY. IL
0C4,PENDER. NE
0C5,MECOSTA. MI
0C8,NEWARK. IL
0CA0,DEL REY. CA
0CA4,SANTA YNEZ. CA
0CA5,SANTA YSABEL. CA
0CA6,OCOTILLO. CA
0CA9,SHANDON. CA
0CD2,YODER. CO
0CD5,TRINIDAD. CO
0CD7,LAFAYETTE. CO
0CL0,RAYMOND. CA
0CL1,ADELANTO. CA
0CL3,CHULA VISTA. CA
0CN1,DELHI. CA
0CN2,LIVE OAK. CA
0CO1,LOUISVILLE. CO
0CO2,CRESTED BUTTE. CO
0CO5,KIOWA. CO
0CO6,NORWOOD. CO
0CO9,MONTE VISTA. CO
0D7,ADA. OH
0D8,GETTYSBURG. SD
0F2,BOWIE. TX
0F3,SPIRIT LAKE. IA
0F4,LOUP CITY. NE
0F7,EUFAULA. OK
0F9,TISHOMINGO. OK
0FA1,ARCADIA. FL
0FD0,ORMOND BEACH. FL
0FD3,FREEPORT. FL
0FD4,BLOUNTSTOWN. FL
0FD5,DEFUNIAK SPRINGS. FL
0FD9,DEFUNIAK SPRINGS. FL
0FL0,CLEWISTON. FL
0FL9,CLEWISTON. FL
0G3,TECUMSEH. NE
0G6,BRYAN. OH
0G7,SENECA FALLS. NY
0GA0,HAMPTON. GA
0GA1,HARTWELL. GA
0GA2,HARTWELL. GA
0GA3,TEMPLE. GA
0GA6,JERSEY. GA
0GA8,VALDOSTA. GA
0GA9,ROBERTA. GA
0GE0,DOUGLASVILLE. GA
0GE1,IRWINVILLE. GA
0GE3,TRENTON. GA
0GE4,SUNNYSIDE. GA
0GE5,CLEVELAND. GA
0GE7,APPLING. GA
0GE9,ROCKY FORD. GA
0H1,WAKEENEY. KS
0H7,KAHOKA. MO
0I2,BRAZIL. IN
0I8,CYNTHIANA. KY
0IA4,MEDIAPOLIS. IA
0IA5,MILLERTON. IA
